filename,citations,circumstance,year,RTNs,location,link
2-0000419 - WINCHENDON - NAFNON  07-27-2004,"['40.0835', '40.0411']","phase ii report and supporting risk characterization, received by the department on february 25, 1997, did not identify a private potable water supply well at the abutting property as a potential receptor of groundwater contamination or determine an exposure point concentration, as per 310 cmr40.0835 4g and h. private wells within 500 feet of the site, at a minimum, have not been periodically sampled to continually assess and evaluate for a condition requiring an immediate response action ira, as per 310 cmr 40.04117, pending achievement of a permanent solution and response action outcome rao statement.",2004,2-0000419,WINCHENDON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000419
2-0000419 - WINCHENDON - NAFNON  07-27-2004,"['40.0006', '40.0191', '10.0049']","in april 2003, landfarming of soil was selected as a remedial action alternative raa after groundwater pump and treat technologies failed to removed nonaqueous phase liquid from the subsurface environment in the release source area. approximately 105 cubic yards of fuel oilsaturated soils were excavated and arrayed in uncovered landfarm cells on october 28, 2003 and november 5, 2003. landfarm cells are containers that are considered point sources pursuant to 310 cmr 40.0006. the remedy operation status submittals, received by the department on april 22, 2003 and october 20, 2003, did not present a mass flux analysis, identify distances to potential receptors, and did not adequately gauge the background concentrations in the ambient atmosphere, as required by 310 cmr 40.00493 prior to implementation of landfarming. landfarming of soil stockpiles is prohibited under 310 cmr 40.00366 unless appropriate steps have been taken to minimize and treat potential air emissions. following initial excavation and aerating of fueloil saturated soil on october 28, 2003, two summa canisters were placed upwind and downwind of the landfarm cell on november 5, 2003, to gauge background air quality and monitor remedial emission impacts. the sample taken south of the landfarm was located approximately 40 feet away. offgas samples were not obtained from within the landfarm cell as the point source. weather conditions, as reported by the national weather service for the day of emission sampling, were not conducive for air quality monitoring for volatile compounds. cool and rainy weather may have potentially dampened offgas emissions. subsequent emission sampling has not been documented in the ros submittal received by the department on april 20, 2004. the monitoring data for the single sampling event did not provide a level of precision and accuracy, per 310 cmr 40.00017, for use in determining if offgas treatment was necessary in accordance with department guidance, offgas treatment of pointsource remedial air emissions wsc94150, and response action performance standards raps per 310 cmr 40.01911 and 2. the selection of the designed landfarming alternative did not give consideration to technologies which reuse, recycle, destroy, detoxify or treat oil andor hazardous materials, as per 310 cmrformer northeast gas sahagen 4 school street, winchendon nonce043066 40.01913, such as the covered bioremediation treatment that was employed for nonsource area soils at the site. description of requtrements not complied with 310 cmr 40.0006 terminolosy, definiti la point source means a discemible, confined and discrete conveyance, including, but not limited to, any pipe, ditch, channel, tunnel, conduit, well, discrete fissure, container, rolling stock or vessel from which oil andor hazardous material is or may be discharged. 6 movement andor aeration of remediation waste stockpiles shall be limited to those activities that are necessary to manage such stockpiles in accordance with 310 cmr 40.0000. landfarming of soil stockpiles is prohibited unless appropriate steps have been taken to minimize and treat potential air emissions pursuant to 310 cmr 40.0049, 10.0049 b lial air emissi 3 notwithstanding the provisions of 310 cmr 40.00492, except where specifically required in writing by the department based upon its review of proposed or ongoing response actions, treatment of pointsource remedial air emissions is not required at a disposal site if the untreated emissions would be at or below a level of no significant risk to health, safety, public welfare, and the environment provided, however, that the person undertaking the response action submits an lsp opinion to the department prior to commencement of the remedial action stating that such untreated emissions will present no significant risk to health, safety, public welfare and the environment, considering a the mass flux and toxicities of the oil and hazardous material being emitted b the types and proximity of human and ecological populations c background concentrations of oil and hazardous material in the ambient atmosphere d relevant policies issued by the department and e any other relevant factors. 980 cae an 6097 envi santis catleninn and anal 1 any person undertaking response actions under the provisions of this contingency plan shall ensure that analytical and environmental monitoring data used in support of recommendations, conclusions, or lsp opinions with respect to assessment, removal, or containment actions is scientifically defensible, and of a level of precision and accuracy commensurate with its stated or intended use.former northeast gas sahagen 5 school street, winchendon nonce043066 310 cmr 40.0191 response action performance standard raps 1 the response action performance standard raps is the level of diligence reasonably necessary to obtain the quantity and quality of information adequate to assess a site and evaluate remedial action alternatives, and to design and implement specific remedial actions at a disposal site to achieve a level of no significant risk for any foreseeable period of time and, where feasible, to reduce to the extent possible the level of oil andor hazardous materials in the environment to background levels. . 2 raps shall be employed during the performance of all response actions conducted pursuant to 310 cmr 40.0000, and shall include, without limitation, the following a consideration of relevant policies and guidelines issued by the department and epa b use of accurate and uptodate methods, standards and practices, equipment and technologies which are appropriate, available and generally accepted by the professional and trade communities conducting response actions in accordance with m.g.l. c. 21e and 310 cmr 40.0000 under similar circumstances and c investigative practices which are scientifically defensible, and of a level of precision and accuracy commensurate with the intended use of the results of such investigations. 3 the application of raps shall be protective of health, safety, public welfare and the environment and shall include, without limitation, in the context of meeting the requirements of this contingency plan, consideration of the following a technologies which reuse, recycle, destroy, detoxify or treat oil andor hazardous materials, where feasible, to minimize the need for longterm management of contamination at or from a disposal site b containment measures as feasible permanent solutions only where reuse, recycling, destruction, detoxification and treatment are not feasible c remedial actions to reduce the overall mass and volume of oil andor hazardous material at a disposal site to the extent feasible, regardless of whether it is feasible to achieve one or more temporary solutions andor permanent solutions or whether it is feasible to achieve background for the entire disposal site and d response actions to restore groundwater, where feasible, to the applicable standards of quality within a reasonable period of time to protect the existing and potential uses of such resources, sss rr rt description of the actions to be taken, and the deadlines for taking such actions submit a remedy operation status ros submittal and postaudit completion statement by no later than october 20, 2004 providing documentation to address all above violations.former northeast gas sahagen 6 school street, winchendon nonce043066 if you fail to correct the violations identified and provide documentation of such action to the department may be subject to enforcement action by the department. the department may conduct a followup audit to determine whether the required actions have been taken. if the department finds that the violations have not been corrected, then the department may issue a notice of intent to assess a civil administrative penalty pan, administrative enforcement order, notice of responsibility nor, notice of intent to take response action nora, administrative consent order aco, unilateral order, or seek a judicial judgment as appropriate. you may also be subject to cost recovery under 310 cmr 40.1200 for failure to perform response actions at the disposal site. in addition, you may be required to pay compliance fees until a rao in compliance with the mcp has been achieved. for the department of environmental protection date july 27, 2004 by dy, yy c se mark e. baldi acting section chief auditssite management bureau of waste site cleanupaudit inspection screening checklist lead rtn 2 0000419 date inspected december 18,2003 action inspectedros town winchendon site name former northeast gas sahagen 4 address school street prpop petroleum heat power co., inc lspconsultant timothy keane i condition sdrcyesinno ssmmentssssssscscsc i napl wiin 15 feet of ground surface 5 mgl total vocs 15 within 30 feet schoolresidence no potential forimpactstonearbyreceptos nop private wells500 feet, zone il, or wpa abutters likely served by private wells accessible pitslagoons debris related to cleanup no possible fireexplosion hazard no remedial system not secured no fence odorsdustdebrisappearance problem wetland, surface water within 500 feet of surface water, andor wetlands confirmed contamination of surface water andor wetlands surface water, wetland multiple sources of ohm . no multiple media affected gw surface water, soil air yes surface water, sedimenis, soil , gw cae regulatory requiremen remediation waste issues 310 cmr 40.0030 ro failure to remove remediation waste win 120 days rly immediate response actions 310 cmr 40.0414 na failure to notify of new release or new condition current ra condition not addressed missed deadlines formsreports f failure to comply with ira approvalplanconditions failure to perform imminent hazard evaluation 40.0426 failure to notify of field activities risk characterization 310 cmr 40.0900 soilgroundwater category omitted or misidentified missed receptors private wells, wetlands, etc. inadequate soilgroundwater sampling seee et eee ee auuated ot cocohm not analyzed for andorevaluated potential migration pathway not evaluated tps potential source not identified or assessed site summaryrelease historyinspection highlightscomments site is secured with a fence. the remedial system, land farming, was decommissioned for the winter season. the site was covered with snow. there was no evidence of an imminent hazard. dep inspectorsignature mark matys date 12082003",2004,2-0000419,WINCHENDON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000419
2-0010331 - HOPEDALE - NAFNON  06-14-2004,"['40.0904', '40.0017', '40.0411']","on june 10, 1994, the department was notified of a release of petroleum hydrocarbons at the site from a former diesel underground storage tank ust and assigned release tracking number 210331. the department received a phase i report for 210331 on june 27, 1995. according to information within the phase i report, gasoline hydrocarbons were identified in soil and groundwater samples. the department received a response action outcome statement rao for the release of diesel fuel to soil and groundwater under rtn 210331 on november 17, 2000. on april 3, 2000, a separate notification for a release of gasoline to soil and groundwater from the same source area as rtn 210331 was made to the department and assigned rtn 213221. a review of the information supporting the rao for rtn 210331 and assessment performed for rtn 213221 indicates that a large pond is located south of the release area and that gasoline contamination has migrated via groundwater flow toward the pond as evidenced by the detection75 plain street, hopedale 2 nonce043026 of gasoline constituents in monitoring well nc13, located approximately 25 feet north of the pond. photoionization detector pid screening of a single surface water sample, collected on december 13, 1999, from the pond, did not detect total organic vapor tov concentrations. laboratory analytical results of groundwater obtained from nc13 on december 9, 1999, detected a concentration of 11,000 j1gl cocyo aromatics, exceeding the gw3 method 1 risk characterization standard of 4,000 jigl. subsequent laboratory analysis of groundwater obtained from nc13 detected concentrations of coci9 aromatics exceeding gw3 method 1 standards in march and october 2001 concentrations of cscg aliphatics also exceeded the gw3 standard in march 2001. the gw3 method 1 risk characterization standards are intended to be protective of potential surface water impacts. surface water pid screening does not provide a level of precision and accuracy commensurate with the data quality objective, as required by 310 cmr 40.00171, in order to continually assess and evaluate to determine if site contaminants were migrating to the surface water body resulting in a condition of substantial release migration requiring an immediate response action ira as per 310 cmr 40.04117, or to qualitatively determine the nature and extent of contamination for purposes of risk characterization as required by 310 cmr 40.09042a and c. failure to meet environmental sample collection and analysis requirements is a class i or ii violation. failure to continually assess for the need to conduct an immediate response action is a class i or ii violation. failure to provide site information required for risk characterization is a class ii violation.",2004,2-0010331,HOPEDALE,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0010331
2-0010331 - HOPEDALE - NAFNON  06-14-2004,"['40.0973', '40.0520', '40.0932']","on november 17, 2000, the department received a class a3 response action outcome statement rao for the release of diesel fuel to soil and groundwater under rtn 210331. the method 1 risk characterization, in support of the rao, identifies groundwater at the site as category gw2 and gw3. the phase ii report for rtn 213221, received by the department on april 18, 2003, also identifies groundwater at the site as groundwater category gw2 and gw3, on april 10, 2001, the department received a phase i site investigation report and tier ii classification for rtn 213221. on july 11, 2003, the department received an immediate response action ira completion report for rtn 214461 that linked the tier classification to 213221 for the performance of comprehensive response actions. on august 2, 2001, the zone ii for the town of hopedale wells was delineated. prior to zone ii delineation the site was located in an interim wellhead protection area iwpa. according to the attached enlargement of an aerial photograph from the massachusetts geographic information system massgis, a portion of the site, including the former ust source area and monitoring wells nc7, nc8, nc14, nc16 and nc18 and points np1 and np3, are located within the zone ii for a municipal wellfield for the town of hopedale. therefore, a portion of the disposal site should be classified groundwater category gw1, as required by 310 cmr 40.09324a. the method risk characterization, in support of the rao for the diesel fuel release rtn 210331, calculates groundwater exposure point concentrations epcs for extractable petroleum hydrocarbons eph which exceed the applicable gw1 method risk characterization standards at monitoring wells in the zone ii portion of the site. therefore, a condition of no significant risk has not been demonstrated for rtn 210331, pursuant to 310 cmr 40.09737.75 plain street, hopedale 5 nonce043026 the phase ii comprehensive site assessment csa for rtn 213221 also fails to compare groundwater epcs for volatile petroleum hydrocarbons vph to gw1 standards. although the phase i csa identifies groundwater flow as southsouthwest, away from nearby municipal water supply production wells, local groundwater flow calculations and hydrogeology characteristics cannot be used as technical justification to change the gw1 groundwater classification for a disposal site. the phase i initial site investigation report for rtn 210331, received by the department on june 27, 1995, contains a mdep site scoring map figure 4 which depicts the site to be located within the wpa for the municipal wells. a tier ii classification was received concurrently with the phase j report. the phase i initial site investigation report and tier ii classification for rtn 213221, received by the department on april 10, 2001, notes the site appears to be located outside of the zone ii based on information at that time. the site 210331 was not classified as tier i for its location in an iwpa in violation of 310 cmr 40.005202a1.b. the site is currently classified as tier i for 213221, however, the attached massgis enlargement indicates that a portion of the site, notably the former usts source area, is located in the zone ii, therefore, a tier i classification applies. failure to properly identify groundwater categories is a class ii violation. failure to demonstrate a condition of no significant risk under an rao is a class ii violation. failure to submit a tier i permit with a tier classification is a class ii violation.",2004,2-0010331,HOPEDALE,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0010331
2-0010331 - HOPEDALE - NAFNON  06-14-2004,['40.0872'],"the phase iv remedy implementation plan rip, received by the department on april 16, 2004, fails to ensure that the information, plans and reports related design and implementation of the calcium carbonate injection, as the selected remedial action alternative, are sufficiently developed and documented to support implementation of the comprehensive remedial action as required by 310 cmr 40.08721a. soil contamination maybe a contributing source of groundwater contamination across the disposal site. laboratory analysis of soil samples from borings nc21 and nc22, located in the ust source area, detected concentrations of coc9 aromatics exceeded the applicable s3gw1 method 1 risk characterization standard when sampled in 1999, concentrations of cocio aromatics also exceeded the s3gw3 standard in nc22. the phase iv rip does not include treatment of soil or baseline sampling of groundwater in the ust source area to demonstrate that implementation of the selected remedial alternative as designed will achieve applicable remedial goals. the phase iv rip also does not include treatment of groundwater in the zone ii for the town of hopedale supply wells as defined by monitoring wells nc14, nc7, and nc6 where concentrations of vph compounds have historically exceeded the applicable gw1 method 1 risk characterization groundwater standards. groundwater concentrations of eph in the vicinity of the former heating oil ust under rtn 214461 and in the vicinity of wells nc8, nc16 and nc18 have also historically exceeded method 1 gw1 standards.75 plain street, hopedale 7 nonce043026 failure to meet performance standards for a phase v remedy implementation plan is a class ii violation.",2004,2-0010331,HOPEDALE,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0010331
2-0010331 - HOPEDALE - NAFNON  06-14-2004,['40.1074'],"the notice of activity and use limitation aul, received by the department on november 17, 2000, and recorded in the worcester district registry of deeds on november 10, 2000, failed to meet aul requirements, specifically 1. the aul was signed by jeannemarie boylan, the president and treasurer of rosenfeld concrete company. a certified registry copy of a certificate of incumbency from the clerk of the corporation certifying that the officer signing the aul on behalf of the corporation held her office as of the date of the aul was not included as an exhibit to the aul, pursuant to 310 cmr 40.10742c. 2. the department has not been provided a registry copy of the plan showing the portion of the property plan book 761, number 116 including the aul, pursuant to 310 cmr 40,.10744. 3. registry copies of the deed into the owner bearing the required marginal reference to the aul have not been forwarded to the department, pursuant to 310 cmr 40.1074,. 4, the department was not provided the certification of notice to record interestholders prior to recording the aul, pursuant to 310 cmr 40.10741e and f.75 plain street, hopedale 8 nonce043026",2004,2-0010331,HOPEDALE,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0010331
2-0000131 - SUTTON - L3 NAFNON 06-21-2002,['40.0000'],"potable water supply wells located at 330 boston road, sutton and 334 boston road, sutton were found to contain levels of xylenes below gw1 standards, however, monitoring reports indicate that groundwater sampling and analysis was discontinued in 1996. monitoring of the contaminants of concern in these wells should have been continued at an appropriate frequency to evaluate and assess for an immediate response action ira per 310 cmr 40.04117.",2002,2-0000131,SUTTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0000131
2-0010256 - WORCESTER - NAFNON 03-04-2004,['40.1074'],"the notice of activity and use limitation aul, received by the department on may 2, 2002, failed to meet aul requirements, specifically 1. the aul form 1075, paragraph 3, omits portions reference to the property parcels affected by the aul and references to the plan book and page where the parcels are recorded, as per 310 cmr 40.10742a3. , 2. the department has not been provided registry copies of the maps of the two property parcels involved, plan book 156, plan 97 and plan book 139, plan 116, pursuant to 310 cmr 40.10744b. 3. registry copies of the deeds to the property parcels involved bearing the required marginal reference to the aul have not been forwarded to the department, as per 310 cmr 40.10744c. 4, the aul was signed by the president mark donegan and treasurer james thibodeau of wyman gordon company. a certified registry copy of a certificate of incumbency from the clerk of the corporation certifying the officers signing the aul on behalf of the corporation held their offices as of the date of the aul was not included as an exhibit to the aul, pursuant to 310 cmr 40.10742c.wyman gordon company 2 105 madison street, worcester, rtn 210256 nonce043020",2004,2-0010256,WORCESTER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0010256
2-0013023 - HOLLISTON - NAFNON  07-11-2002,"['40.0926', '40.0924']","the method 1 risk characterization in support of the class a2 response action outcome rao statement, received by the department on november 3, 2000, included a calculation for exposure point concentrations epcs in soil that utilized onehalf the method detection limit mdl for laboratory analytical results that were below the mdl nondetects. exposure points in soil for which epcs are determined are defined by the contiguous vertical and horizontal extent of contamination. by including nondetects from outside the contiguous area of contamination the epc is not representative of contaminant concentrations to which a potential receptor may be exposed. soil samples that appear outside of the extent of contamination and were utilized in epc calculations for the risk characterization include cgwss2, cgw6s2, cgw10s2, cgw13s3, cgw14s3, cgw16s4, and possibly cgw7s2 soncenpccre ne pe a ine ypporssies eee terre enaieeenrsateneenweneieeponantnholliston high school 2 370 hollis st., holliston nonce023053 failure to properly determine exposure points and exposure point concentrations are class ii violations.",2002,2-0013023,HOLLISTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013023
2-0013023 - HOLLISTON - NAFNON  07-11-2002,['40.0046'],"the rao notes that a pilot test for fullscale chemical oxidation injection was performed on december 28,1999. the fullscale injection was performed on february 23, 2000 another injection event was performed on september 5, 2000. with the exception of sampling for dissolved oxygen and peroxide content on february 29, 2000, sampling data for remedial additives, additive byproducts prior to and at intervals of three 3 months after each additive application, per 310 cmr 40.00464 was not provided in the rao. so fistgermenerenrenrncienininsntentannent et eamesholliston high school 3 370 hollis st., holliston nonce023053 although groundwater was sampled for extractable petroleum hydrocarbons eph prior to remedial additive application and subsequently from select monitoring wells in february and june 2000, groundwater was not sampled following the final remedial additive application on september 5, 2000, with the exception of a groundwater sample collected from monitoring well cgw18a on september 6, 2000. with the exception of monitoring well cgw1818a, monitoring wells for which epcs were established were sampled once. a single sampling event is not adequate to determine a conservative groundwater epc. failure to meet requirements for application of remedial additives is a class ii violation.",2002,2-0013023,HOLLISTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013023
2-0013023 - HOLLISTON - NAFNON  07-11-2002,['40.1056'],"the rao contains detail plans of the site, however, a plan depicting the site in relation to the entire holliston high school property is not provided to locate the rao area. failure to clearly and accurately describe the rao location is a class ii violation.",2002,2-0013023,HOLLISTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013023
2-0013023 - HOLLISTON - NAFNON  07-11-2002,"['40.0904', '40.0193']","the rao notes that in 1990 an unknown quantity of oil entered chicken brook, located approximately 1,600 feet west of the former tank, via a storm drain outfall. emergency response actions conducted in 1990 included containment of the petroleum release at the outfall. the rao provides technical justification eliminating chicken brook as a current environmental receptor of petroleum contamination via groundwater migration, however, sediment samples were not collected at the outfall either in 1990 or subsequently to confirm that residual petroleum contamination, transported through the storm drain system, was not present. chicken brook and the storm drain system are not depicted on site plans. failure to determine the extent of release is a class ii violation. ore re tt mt tomy crencease tor nn ienenrinentcomnnnnes au ranma aa in tiesto ie miro gions bb baticip hi ptbntgd eo wend takai adi po oe un nee nenrennnmnrecmeein gettin teenholliston high school 5 370 hollis st., holliston nonce023053",2002,2-0013023,HOLLISTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0013023
2-0012578 - ACTON - NAFNON  06-27-2003,['40.0993'],"the method 3 risk characterization, in support of the class a2 rao received by the department on june 27, 2003, did not include the exposure to groundwater by constructionutility workers via dermal contact and inhalation of volatile petroleum hydrocarbons vph as per 310 cmr 40.09934. the method 3 risk characterization provides technical justification for this exclusion that utility work is typically to a depth of six feet below grade and depth to groundwater at the site is greater than six feet. average depth to groundwater within the area of contamination ranges from approximately four and onehalf feet below grade on the southern portion to ten feet below grade on the northern portion of the site. average concentrations of vph in groundwater at the site range from not detected to 9.25 mgl parts per million. the massachusetts contingency plan risk characterization subpart indicates that expected depths for utility work should be six 6 feet below grade, however, construction work may potentially extend to depths of fifteen 15 feet below grade. therefore, risk associated with exposure to groundwater by constructionutility workers must be determined to demonstrate a condition of no significant risk as per 310 cmr 40.09937. description of regulation requiring compliance 310 cmr 40.0993 method 3 human health risk characterizationproperty 2 28 willow street, acton under method 3, the risk of harm to human health shall be characterized for all current and reasonably foreseeable site activities and uses identified in 310 cmr 40.0923, as follows 4 the frequency, duration and intensity of exposure to each oil andor hazardous material at the disposal site for each receptor at each exposure point shall be determined and documented, considering the current and reasonably foreseeable site activities and uses identified for the disposal site. the magnitude of each receptors total exposure to the oil andor hazardous material at the disposal site is calculated in a manner which provides a conservative estimate of the potential exposures. assessments conducted using a probabilistic analysis shall identify the 95th percentile estimate of each receptors potential exposure. 7 a condition of no significant risk of harm to human health exists or has been achieved if a no exposure point concentration of oil andor hazardous material is greater than an applicable or suitably analogous public health standard b no cumulative receptor cancer risk calculated is greater than the cumulative cancer risk limitand c no cumulative receptor noncancer risk is greater than the cumulative receptor noncancer risk limit. description of deadline s of action to be taken submit a method 3 risk characterization addendum to include groundwater exposure for the constructionutility worker receptor to the department by august 15, 2003. should the outcome of the risk characterization indicate that a condition of no significant risk has not been achieved, retract the rao and submit a tier ii classification extension request to conduct additional response actions as appropriate. if you fail to revise the rao statement within the specified deadline, the department can continue to treat this site as a tier ii disposal site and require you to pay compliance fees until a rao in compliance with the mcp has been achieved. 6203 was 5b date acting section chief auditssite management bureau of waste site cleanup",2003,2-0012578,ACTON,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0012578
2-0001014 - BARRE - NAFNON  02-04-2004,['40.0411'],"on may 9, 1993, the department was notified that 7.3 inches of nonaqueous phase liquid napl was detected in site monitoring well mwlo1. an immediate response action ira plan was submitted to the department on november 30, 1993 for napl recovery. an onsite drinking water supply well is located approximately 70 feet north of the release area. this water supply well was first shown on a site plan in a site investigation report, dated october 27, 1993, and then referenced again in the july 28, 1997, phase i initial site investigation report. prior to submittal of a response action outcome rao statement on july 30, 2002, the private water supply well was not periodically sampled,.as per 310 cmr 40.04117, to continually assess and evaluate if an ira was required due to potential contaminant impacts. a groundwater epc was not determined for the potable supply well to demonstrate a condition of no significant risk. failure to continually assess for an ira condition is a class ii violation. . roger lonergan intake worcester rd., barre",2004,2-0001014,BARRE,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0001014
2-0001014 - BARRE - NAFNON  02-04-2004,['40.0926'],"the class a2 rao, received by the department on july 30, 2002, did not determine a conservative exposure point concentration epc of contaminants in groundwater at the site as per 310 cmr 40.09261 and 3. monitoring well rfw01 contained measurable napl, and groundwater collected from rfw09 contained concentrations of volatile petroleum hydrocarbons vph, extractable petroleum hydrocarbons eph, acenaphthene, fluoranthene, 2methylnaphthalene and naphthalene exceeding applicable gw1 method 1 risk characterization standards. wells rfw01 and rfw09 were destroyed during phase iv soil excavation and dewatering activities. monitoring well mw101 was installed to replace rfw09 and used to evaluate the effectiveness of phase iv remedial actions. the exposure point concentration epc in groundwater, as presented in the july 2002 rao report, was based on two rounds of samples april and june 2002 collected from monitoring well mw101. all contaminants were below laboratory detection limits in the april 2002 groundwater sample. the concentration of eph fraction ci,c22 aromatics 160 gl in the june 2002 sample was less than, but approaching, the method 1 risk characterization gw1 standard of 200 ugl. department guidance, characterizing risks posed by petroleum contaminated sites implementation of the madep vpheph approach, recommends a roger lonergan intake worcester rd., barre minimum of three 3 to four 4 quarterly samples to determine a conservative groundwater epc for fuel oil releases within 800 feet of a water supply. a january 2002 sample was collected from mw101 and results indicate that the concentration of eph fraction ccz2 aromatics 920 pgl exceeded the gw1 groundwater standard of 200 ugl, and the concentration of eph fraction cocjg aliphatics 2,100 ugl exceeded the applicable gw2 groundwater standard of 1,000 pgl. between january and june 2002, concentrations of c,c22 averaged 380 pgl, greater than the method 1 risk characterization gw1 groundwater standard. in addition, the increase of concentrations from april to june 2002 did not confirm a decreasing trend for groundwater contamination. the january 2002 sample was not included in the epc calculation as contaminant levels were attributed to the presence of postexcavation residual petroleum contamination, and therefore, not representative of site conditions. phase iv comprehensive response actions were completed by june 28, 2001. the january 2002 samples were collected nearly six months after these remedial actions, providing sufficient time for restoration of static groundwater conditions. department vpheph guidance recommends groundwater monitoring for six 6 to ninth 9 months following termination of remedial response actions to assess for contaminant rebound. based on information provided in the rao, the january 2002 groundwater data appeared representative of site groundwater conditions and should have been used in the epc calculation or additional samples should have been collected to confirm average concentrations do not exceed applicable gw1 method 1 standards. failure to determine a conservative epc is a class ii violation.",2004,2-0001014,BARRE,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0001014
2-0001014 - BARRE - NAFNON  02-04-2004,"['40.0904', '40.0924']","the class a2 rao, received by the department on july 30, 2002, did not define the horizontal extent of groundwater contamination or identify a potential exposure point at a distance from the source as per 310 cmr 40.09042a and 310 cmr 40.09243. . data collected for this site indicates that a majority of petroleum contaminated groundwater was located in the area of monitoring wells rfwlo9, recovery well rfwlo1 and mw101. groundwater flow direction in the area of the 1,000gallon fuel oil ust is westerly, and then west of the shaft 8 intake building the groundwater flow appears to shift southwesterly towards the ware river. the foundation of the shaft 8 intake building may create a preferential flow pathway for contaminated groundwater that has migrated from the rfwl09 area and from the 1,000gallon fuel oil ust area. although monitoring well mw101 was installed downgradient of the ust, it is not in a location to assess potential contaminated groundwater migrating along the building foundation under the influence of the hydraulic head east of the building and dam, and the influence of the steep gradient towards the ware river to the southwest of the building. the department was first notified in 1992 of a release at the site. due to the unknown age of the release and the fact that groundwater contaminants in mw101 have been above applicable gw1 groundwater standards, groundwater contaminants in excess of gw1 standards may have migrated downgradient of mw101, requiring assessment to determine if an exposure point in groundwater or surface water exists at a distance from the original release source as per 310 cmr 40.09243 and to determine the extent of contamination as per 310 cmr 40.09042. failure to determine the extent of contamination, and to identify a potential exposure point are class ii violations. roger lonergan intake worcester rd., barre",2004,2-0001014,BARRE,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0001014
2-0011937 - HOLDEN - NON  01-08-2001,['40.0857'],"the phase iii report stated that all of the groundwater remedial alternatives met the criteria in 40.08572. as indicated in the audit memorandum, the innertite site is the first use of hydrogen release compound by the consultant and the licensed site professional. while some training opportunities exist in the marketplace for environmental professionals to learn about applying the compound to sites, this does not equal experience. discussion with maureen dooley, regenesis northeast district business. development manager, yielded the information that in all of massachusetts there are only three sites in the implementation stage of hrc. very few people in the state have any direct experience with the product. the site is also located ina gw1 classification area. for these reasons, the criteria in 40.08572 have not been met and the lsp should conduct a detailed evaluation of the hrc alternative.and compare it against other potential remedial alternatives.",2001,2-0011937,HOLDEN,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0011937
2-0012698 - LEOMINSTER - NAFNON  10-10-2002,['40.0926'],"groundwater samples collected on october 24, 2000 revealed four wells mw2, mwgg1, mwgg2, mwgg3 with concentrations of extractable petroleum hydrocarbons eph and volatile petroleum hydrocarbon vph fractions in exceedance of applicable method 1 risk characterization gw2 groundwater standards. also, approximately 0.2 inches of nonaqueous phase liquid napl was detected in monitoring well mwgg1 in march 2000. ram activities consisting of the excavation of 536 tons of petroleum contaminated soil was undertaken in november 2000. soil was excavated to the water table. no dewatering of the excavation was necessary. soil excavation activities destroyed monitoring wells mwgg1, mwgg2 and mwgg3. monitoring well mw2 was the sole remaining well in the source area, postremediation groundwater quality data consisted of one round of groundwater samples collected in may 2001 from mw2, sidegradient well mwgg6, and offsite wells mwgg4 and mwgg5. exposure point concentrations used in the risk characterization relied upon the may 2001 groundwater data. pe fe pipteerteneraenenenns snap ahne sa ateonicesenegnge sp qeste ne aso esr ppro yf ozetsransnnontaetonenw nnn nnnnmnapungnnnnt ten345 central street leominster, rtn 212698 nonoce023085 i the use of one round of groundwater data is insufficient to adequately characterize the effects of seasonal variations on groundwater contaminant concentrations. the exposure point concentrations calculated for the site, based on one round of sampling, are not conservative estimates of the true mean. of particular concern at this site are the potential future impacts to downgradient residential properties located approximately 80 feet downgradient. as a result, the department has determined that the requirements of 310 cmr 40.0926 have not been met.",2002,2-0012698,LEOMINSTER,https://eeaonline.eea.state.ma.us/EEA/fileviewer/Rtn.aspx?rtn=2-0012698
